0 60  0.679962 -3.18669   -958 56.5656
35500 7672  10.6116 38278.9   -7.98991e+06 182511
35600 7674  10.6119 38297.2   -7.99209e+06 182531
35700 7678  10.6119 38324.5   -7.99879e+06 182527
35800 7679  10.6119 38345.7   -7.99945e+06 182559
35900 7679  10.6119 38361.7   -7.99945e+06 182559
36000 7679  10.6119 38382.3   -7.99945e+06 182559
36100 7679  10.6119 38398.8   -7.99945e+06 182559
36200 7681  10.6734 38414.5   -8.00107e+06 182600
36300 7681  10.6734 38430.9   -8.00107e+06 182600
36400 7682  10.6734 38450.2   -8.0023e+06 182593
36500 7683  10.6734 38462.8   -8.00454e+06 182679
36600 7684  10.6734 38475.8   -8.00614e+06 182682
36700 7686  10.6734 38492.6   -8.00771e+06 182724
36800 7689  10.6734 38506.8   -8.0118e+06 182833
36900 7689  10.6734 38526.5   -8.0118e+06 182833
37000 7692  10.6734 38548.1   -8.01407e+06 182932
37100 7696  10.6734 38569.7   -8.01999e+06 182983
37200 7696  10.6734 38591.1   -8.01999e+06 182983
37300 7698  10.6734 38610.8   -8.02305e+06 183060
37400 7698  10.6734 38624.7   -8.02305e+06 183060
37500 7699  10.6734 38651.2   -8.02422e+06 183064
37600 7699  10.6734 38670.7   -8.02422e+06 183064
37700 7701  10.6734 38683.6   -8.02668e+06 183083
37800 7703  10.6734 38701.2   -8.0288e+06 183100
37900 7704  10.6734 38719.8   -8.0298e+06 183112
38000 7704  10.6734 38742.6   -8.0298e+06 183112
38100 7706  10.6734 38762.5   -8.03247e+06 183096
38200 7709  10.6734 38784.4   -8.03598e+06 183146
38300 7709  10.6734 38800.3   -8.03598e+06 183146
38400 7710  10.6734 38816.2   -8.03858e+06 183236
38500 7712  10.6734 38834.7   -8.04094e+06 183290
38600 7712  10.6734 38855.8   -8.04094e+06 183290
38700 7712  10.6734 38869.8   -8.04094e+06 183290
38800 7712  10.6734 38882.2   -8.04094e+06 183290
38900 7716  10.6734 38899.5   -8.04634e+06 183343
39000 7716  10.6734 38914.4   -8.04634e+06 183343
39100 7717  10.6734 38937   -8.04718e+06 183367
39200 7717  10.6734 38950   -8.04718e+06 183367
39300 7718  10.6734 38964.3   -8.04943e+06 183403
39400 7719  10.6734 38987.6   -8.05077e+06 183397
39500 7721  10.6734 39002.2   -8.05366e+06 183409
39600 7722  10.6734 39017.6   -8.05466e+06 183421
39700 7724  10.6734 39038.6   -8.05687e+06 183436
39800 7727  10.6734 39059.8   -8.06248e+06 183461
39900 7728  10.6734 39077.6   -8.06346e+06 183466
40000 7730  10.6734 39091   -8.06512e+06 183498
