0 398  1.549 -1.60022   -30412 1495.64
26000 9139  12.9344 51079.8   -1.00898e+07 206460
26100 9140  12.9344 51117.6   -1.00914e+07 206459
26200 9140  12.9344 51161.7   -1.00914e+07 206459
26300 9141  12.9344 51202.8   -1.00925e+07 206462
26400 9141  12.9344 51242.1   -1.00925e+07 206462
26500 9142  12.9344 51288   -1.0094e+07 206456
26600 9143  12.9344 51316.5   -1.00949e+07 206465
26700 9143  12.9344 51349.5   -1.00949e+07 206465
26800 9144  12.9344 51390.3   -1.00958e+07 206481
26900 9145  12.9344 51432.5   -1.00975e+07 206478
27000 9145  12.9344 51469.1   -1.00975e+07 206478
27100 9146  12.9344 51516.1   -1.00993e+07 206496
27200 9146  12.9344 51557.4   -1.00993e+07 206496
27300 9146  12.9344 51599.8   -1.00993e+07 206496
27400 9146  12.9344 51638.5   -1.00993e+07 206496
27500 9148  12.9344 51663.7   -1.01009e+07 206538
27600 9149  12.9344 51707.7   -1.01027e+07 206537
27700 9149  12.9344 51760.9   -1.01027e+07 206537
27800 9150  12.9344 51805.2   -1.01044e+07 206569
27900 9151  12.9344 51857.1   -1.01066e+07 206626
28000 9152  12.9344 51897.5   -1.01086e+07 206659
28100 9152  12.9344 51940.5   -1.01086e+07 206659
28200 9152  12.9344 51975.9   -1.01086e+07 206659
28300 9152  12.9344 52021.4   -1.01086e+07 206659
28400 9153  12.9344 52064.2   -1.01102e+07 206652
28500 9154  12.9344 52106.7   -1.01118e+07 206660
28600 9155  12.9344 52145.1   -1.01127e+07 206672
28700 9155  12.9344 52168.4   -1.01127e+07 206672
28800 9155  12.9344 52210.3   -1.01127e+07 206672
28900 9157  12.9344 52246.2   -1.0116e+07 206678
29000 9158  12.9344 52284.6   -1.0118e+07 206714
29100 9160  12.9344 52312   -1.012e+07 206729
29200 9161  12.9344 52360.2   -1.01219e+07 206753
29300 9161  12.9344 52389.5   -1.01219e+07 206753
29400 9162  12.9344 52427   -1.01234e+07 206749
29500 9162  12.9344 52476.5   -1.01234e+07 206749
29600 9162  12.9344 52517.9   -1.01234e+07 206749
29700 9163  12.9344 52554.6   -1.01257e+07 206796
29800 9163  12.9344 52581.6   -1.01257e+07 206796
29900 9163  12.9344 52609.7   -1.01257e+07 206796
30000 9163  12.9344 52642.2   -1.01257e+07 206796
30100 9163  12.9344 52676.8   -1.01257e+07 206796
30200 9164  12.9344 52710.4   -1.0127e+07 206805
30300 9164  12.9344 52736.9   -1.0127e+07 206805
30400 9166  12.9344 52761.9   -1.01296e+07 206805
30500 9167  12.9344 52799.4   -1.01309e+07 206803
30600 9168  12.9344 52839.2   -1.01321e+07 206807
30700 9168  12.9344 52873.3   -1.01321e+07 206807
30800 9168  12.9344 52904.3   -1.01321e+07 206807
30900 9169  12.9344 52932.1   -1.01333e+07 206806
31000 9169  12.9344 52961   -1.01333e+07 206806
31100 9170  12.9344 52987.8   -1.01343e+07 206816
31200 9171  12.9344 53011.2   -1.0136e+07 206812
31300 9171  12.9344 53052.4   -1.0136e+07 206812
31400 9171  12.9344 53084.1   -1.0136e+07 206812
31500 9171  12.9344 53111   -1.0136e+07 206812
