18600 7482  8.27833 29425.2   -7.76981e+06 179072
18700 7483  8.27833 29459.1   -7.77177e+06 179112
18800 7486  8.27833 29491.5   -7.77591e+06 179171
18900 7487  8.40617 29520.2   -7.77719e+06 179170
19000 7488  8.40617 29550.3   -7.77876e+06 179155
19100 7491  8.40617 29585.4   -7.78497e+06 179263
19200 7491  8.40617 29619.6   -7.78497e+06 179263
19300 7492  8.40617 29652.4   -7.78685e+06 179241
19400 7492  8.40617 29680.2   -7.78685e+06 179241
19500 7492  8.40617 29710.8   -7.78685e+06 179241
19600 7492  8.40617 29741.2   -7.78685e+06 179241
19700 7494  8.40617 29774.1   -7.78917e+06 179288
19800 7497  8.40617 29805.9   -7.79204e+06 179345
19900 7498  8.40617 29842.2   -7.79436e+06 179396
20000 7501  8.40617 29877.8   -7.79839e+06 179379
20100 7501  8.40617 29907.6   -7.79839e+06 179379
20200 7502  8.40617 29941.2   -7.79877e+06 179441
20300 7504  8.40617 29973.5   -7.80171e+06 179500
20400 7505  8.40617 30009.8   -7.80304e+06 179501
20500 7506  8.40617 30042.3   -7.80471e+06 179510
20600 7507  8.40617 30072.7   -7.80557e+06 179522
20700 7509  8.40617 30102.8   -7.80814e+06 179540
20800 7511  8.40617 30135   -7.81114e+06 179566
20900 7515  8.40617 30166.4   -7.81697e+06 179601
21000 7515  8.40617 30201.6   -7.81697e+06 179601
21100 7516  8.40617 30238.4   -7.81779e+06 179623
21200 7520  8.46545 30277.6   -7.82161e+06 179683
21300 7521  8.46545 30314.3   -7.82298e+06 179673
21400 7522  8.46545 30341.6   -7.8233e+06 179743
21500 7523  8.46545 30375.9   -7.82432e+06 179751
21600 7525  8.46545 30400.9   -7.82571e+06 179807
21700 7526  8.46545 30429.9   -7.82716e+06 179804
21800 7526  8.46545 30458.7   -7.82716e+06 179804
21900 7526  8.46545 30483.5   -7.82716e+06 179804
22000 7528  8.46545 30513.7   -7.83093e+06 179845
22100 7528  8.46545 30539.9   -7.83093e+06 179845
22200 7530  8.46545 30575.2   -7.83289e+06 179868
22300 7534  8.46545 30610.7   -7.84059e+06 179960
22400 7539  8.46545 30644.5   -7.84722e+06 180049
22500 7542  8.46545 30675.1   -7.8499e+06 180079
22600 7545  8.46545 30710.1   -7.85384e+06 180127
22700 7549  8.46545 30743.1   -7.85913e+06 180159
22800 7550  8.46545 30777.6   -7.86102e+06 180161
22900 7550  8.46545 30808.7   -7.86102e+06 180161
23000 7554  8.46545 30845.5   -7.8656e+06 180272
23100 7556  8.46545 30881.2   -7.86797e+06 180285
23200 7559  8.46545 30911.1   -7.87082e+06 180343
23300 7561  8.46545 30941.8   -7.87237e+06 180391
23400 7562  8.46545 30965.2   -7.87344e+06 180396
23500 7565  8.46545 30991.7   -7.87623e+06 180459
23600 7566  8.46545 31017.9   -7.87734e+06 180470
23700 7567  8.46545 31045   -7.87821e+06 180482
23800 7571  8.46545 31076   -7.88182e+06 180542
23900 7573  8.46545 31106   -7.88474e+06 180549
24000 7574  8.46545 31131.1   -7.88539e+06 180585
24100 7576  8.46545 31170.4   -7.88869e+06 180705
24200 7578  8.46545 31196.8   -7.89048e+06 180748
24300 7583  8.50361 31226   -7.8989e+06 180849
24400 7584  8.50361 31252.3   -7.90046e+06 180839
24500 7586  8.50361 31280.8   -7.90337e+06 180867
24600 7586  8.50361 31309   -7.90337e+06 180867
24700 7589  8.50361 31333.7   -7.90692e+06 180892
24800 7589  8.50361 31361.2   -7.90692e+06 180892
24900 7590  8.50361 31394.1   -7.90851e+06 180884
25000 7592  8.50361 31422.9   -7.91044e+06 180908
25100 7592  8.55124 31451.9   -7.91044e+06 180908
25200 7593  8.55124 31481.3   -7.91334e+06 180987
25300 7594  8.55124 31518.9   -7.91504e+06 180964
25400 7595  8.55124 31546.3   -7.91655e+06 180982
25500 7599  8.73924 31576.4   -7.92404e+06 181156
25600 7600  8.73924 31613.6   -7.92514e+06 181159
25700 7602  8.73924 31645.9   -7.92897e+06 181247
25800 7605  8.73924 31675.2   -7.9335e+06 181300
25900 7606  8.73924 31702.4   -7.93495e+06 181295
26000 7606  8.73924 31732.1   -7.93495e+06 181295
26100 7608  8.73924 31765.8   -7.93866e+06 181291
26200 7610  8.73924 31793.2   -7.94076e+06 181295
26300 7610  8.73924 31824.8   -7.94076e+06 181295
26400 7610  8.73924 31847.9   -7.94076e+06 181295
26500 7610  8.73924 31880   -7.94076e+06 181295
26600 7611  8.73924 31913   -7.94181e+06 181305
26700 7611  8.73924 31936.2   -7.94181e+06 181305
26800 7613  8.73924 31960.9   -7.94466e+06 181300
26900 7613  8.73924 31993.3   -7.94466e+06 181300
27000 7615  8.73924 32019.5   -7.94646e+06 181350
27100 7615  8.73924 32049.2   -7.94646e+06 181350
27200 7616  8.73924 32086.4   -7.94772e+06 181343
27300 7616  8.73924 32107.3   -7.94772e+06 181343
27400 7617  8.73924 32136.5   -7.94934e+06 181338
27500 7617  8.73924 32153.5   -7.94934e+06 181338
