0 3  0.64982 1.46783   -9 0
21300 5886  6.28393 18999   -5.79681e+06 148330
21400 5889  6.28393 19021.9   -5.80016e+06 148404
21500 5890  6.28393 19037.7   -5.80139e+06 148420
21600 5893  6.28393 19053.6   -5.80548e+06 148436
21700 5896  6.28393 19075.6   -5.80883e+06 148495
21800 5898  6.28393 19089.8   -5.81163e+06 148520
21900 5901  6.28393 19105.6   -5.81596e+06 148563
22000 5907  6.28393 19126.6   -5.82274e+06 148636
22100 5913  6.28393 19141.2   -5.83082e+06 148627
22200 5915  6.28393 19153.8   -5.83365e+06 148607
22300 5919  6.28393 19174.8   -5.83983e+06 148666
22400 5922  6.28393 19193.3   -5.84395e+06 148746
22500 5927  6.28393 19217.6   -5.85102e+06 148870
22600 5934  6.28393 19235.5   -5.85862e+06 148956
22700 5936  6.28393 19247.7   -5.86146e+06 148987
22800 5943  6.28393 19263.1   -5.87056e+06 149147
22900 5949  6.28393 19277.5   -5.87884e+06 149292
23000 5950  6.28393 19291.1   -5.8802e+06 149310
23100 5953  6.28393 19307.8   -5.8839e+06 149405
23200 5960  6.28393 19325.3   -5.89201e+06 149542
23300 5963  6.28393 19343.8   -5.89514e+06 149629
23400 5968  6.28393 19361.1   -5.90149e+06 149664
23500 5973  6.28393 19375.8   -5.90792e+06 149716
23600 5982  6.28393 19392.9   -5.91956e+06 149844
23700 5985  6.31052 19411.8   -5.92288e+06 149933
23800 5986  6.31994 19425.4   -5.9241e+06 149940
23900 5995  6.31994 19443.3   -5.93635e+06 150109
24000 6007  6.31994 19467.3   -5.95095e+06 150225
24100 6012  6.31994 19484.2   -5.95565e+06 150375
24200 6016  6.31994 19504.7   -5.96185e+06 150548
24300 6018  6.31994 19524.6   -5.96416e+06 150582
24400 6019  6.31994 19539.3   -5.96604e+06 150627
24500 6024  6.31994 19557   -5.97282e+06 150870
24600 6025  6.31994 19567.7   -5.9744e+06 150899
24700 6030  6.31994 19582.4   -5.98085e+06 151014
24800 6034  6.31994 19598   -5.98561e+06 151101
24900 6037  6.31994 19610   -5.98994e+06 151221
25000 6040  6.31994 19627.5   -5.99311e+06 151281
25100 6040  6.31994 19638.1   -5.99311e+06 151281
25200 6046  6.31994 19651.5   -6.00262e+06 151464
25300 6049  6.31994 19668   -6.00624e+06 151576
25400 6049  6.31994 19683.1   -6.00624e+06 151576
25500 6053  6.31994 19691.5   -6.01056e+06 151698
25600 6060  6.31994 19708.3   -6.01884e+06 151828
25700 6060  6.31994 19721.5   -6.01884e+06 151828
25800 6063  6.31994 19736.6   -6.02288e+06 151878
25900 6066  6.31994 19756.6   -6.02696e+06 151993
26000 6067  6.31994 19767.9   -6.02926e+06 152046
26100 6070  6.32296 19792.4   -6.03437e+06 152112
26200 6072  6.32296 19804.2   -6.03699e+06 152154
26300 6073  6.32296 19815   -6.03888e+06 152189
26400 6076  6.32296 19828.8   -6.04287e+06 152288
26500 6076  6.32296 19838.6   -6.04287e+06 152288
26600 6080  6.32296 19858.9   -6.04826e+06 152336
26700 6082  6.32296 19867.9   -6.05086e+06 152377
26800 6086  6.32296 19885.8   -6.05609e+06 152439
26900 6088  6.34147 19897.3   -6.05836e+06 152470
27000 6091  6.34147 19913.8   -6.062e+06 152521
27100 6094  6.34147 19929.2   -6.06527e+06 152591
27200 6095  6.34147 19944.2   -6.06638e+06 152611
27300 6099  6.34147 19955.6   -6.07148e+06 152651
27400 6102  6.34147 19972.2   -6.07585e+06 152746
27500 6106  6.34651 19986.4   -6.08004e+06 152834
27600 6111  6.34651 20007.6   -6.08812e+06 152930
27700 6112  6.35733 20019.6   -6.08933e+06 152927
27800 6115  6.35733 20033   -6.09308e+06 152978
27900 6119  6.35733 20049.8   -6.09801e+06 153041
28000 6125  6.45786 20060.6   -6.10584e+06 153137
28100 6127  6.45786 20077   -6.10767e+06 153198
28200 6128  6.45786 20092.1   -6.10857e+06 153208
28300 6130  6.45786 20106   -6.11091e+06 153208
28400 6131  6.45786 20114.6   -6.11222e+06 153210
28500 6134  6.45786 20126.3   -6.11606e+06 153260
28600 6136  6.45786 20136.5   -6.11794e+06 153284
28700 6136  6.45786 20144.2   -6.11794e+06 153284
28800 6136  6.45786 20153.4   -6.11794e+06 153284
28900 6137  6.50454 20166   -6.11902e+06 153284
29000 6137  6.50454 20179.1   -6.11902e+06 153284
29100 6139  6.50454 20189.2   -6.12171e+06 153310
29200 6140  6.50454 20200.8   -6.12302e+06 153311
29300 6143  6.50454 20209.5   -6.12772e+06 153315
29400 6145  6.50454 20222.7   -6.12945e+06 153360
29500 6148  6.50454 20233.4   -6.13321e+06 153386
29600 6149  6.50454 20247.9   -6.13414e+06 153399
29700 6154  6.50454 20261   -6.14008e+06 153473
29800 6157  6.50454 20268   -6.1431e+06 153540
29900 6159  6.50454 20279.8   -6.14629e+06 153580
30000 6159  6.50454 20291.1   -6.14629e+06 153580
30100 6159  6.50454 20299.7   -6.14629e+06 153580
30200 6161  6.50454 20310.4   -6.14901e+06 153627
30300 6165  6.50454 20319.2   -6.15386e+06 153712
30400 6167  6.50454 20332.4   -6.15633e+06 153708
30500 6169  6.50454 20346.8   -6.15955e+06 153717
30600 6172  6.50454 20362.2   -6.16321e+06 153786
30700 6175  6.50454 20374.6   -6.16832e+06 153936
30800 6178  6.50454 20385.4   -6.17118e+06 154009
30900 6180  6.50454 20399   -6.17389e+06 153998
31000 6181  6.50454 20412.6   -6.17571e+06 154024
31100 6183  6.50454 20426.4   -6.17862e+06 154065
31200 6184  6.50454 20440   -6.18067e+06 154063
31300 6185  6.50454 20453.4   -6.18193e+06 154066
31400 6186  6.50454 20461.8   -6.18362e+06 154105
31500 6188  6.50454 20473.6   -6.18592e+06 154118
31600 6188  6.50454 20483.3   -6.18592e+06 154118
31700 6189  6.50454 20490.5   -6.18709e+06 154138
31800 6190  6.5499 20500.6   -6.18805e+06 154171
31900 6191  6.5499 20512.1   -6.18941e+06 154180
32000 6193  6.5499 20521.2   -6.19139e+06 154195
32100 6195  6.5499 20534.5   -6.19471e+06 154188
32200 6197  6.5499 20543.5   -6.19636e+06 154251
32300 6201  6.5499 20553   -6.20154e+06 154304
32400 6206  6.5499 20570.8   -6.20862e+06 154375
32500 6208  6.5499 20580   -6.21074e+06 154402
32600 6209  6.5499 20586.9   -6.21165e+06 154410
32700 6210  6.5499 20597.4   -6.2125e+06 154449
32800 6212  6.5499 20613.3   -6.21374e+06 154541
32900 6213  6.5499 20622.5   -6.21471e+06 154560
33000 6213  6.5499 20631.5   -6.21471e+06 154560
33100 6215  6.5499 20640.4   -6.21725e+06 154618
33200 6218  6.5499 20652.8   -6.22072e+06 154665
33300 6220  6.5499 20665.5   -6.22402e+06 154682
33400 6223  6.5499 20675.2   -6.22792e+06 154758
33500 6225  6.5499 20693.1   -6.2311e+06 154771
33600 6227  6.5499 20701.9   -6.2342e+06 154863
33700 6228  6.5499 20715.3   -6.2354e+06 154878
33800 6229  6.5499 20723.8   -6.23755e+06 154925
33900 6233  6.5499 20733.5   -6.24412e+06 154959
34000 6235  6.5624 20745.4   -6.24584e+06 155015
34100 6236  6.5624 20752.7   -6.24695e+06 155036
34200 6241  6.5624 20764.9   -6.25439e+06 155174
34300 6247  6.5624 20778.1   -6.26255e+06 155292
34400 6248  6.5624 20788   -6.2643e+06 155312
34500 6248  6.5624 20796   -6.2643e+06 155312
34600 6250  6.5624 20809.3   -6.26689e+06 155345
34700 6252  6.57716 20820.2   -6.26919e+06 155407
34800 6253  6.57716 20830.7   -6.27002e+06 155445
34900 6254  6.57716 20838.6   -6.27122e+06 155474
35000 6259  6.57716 20852.8   -6.27876e+06 155572
35100 6263  6.57716 20862.6   -6.28328e+06 155648
35200 6267  6.57716 20878.7   -6.2899e+06 155728
35300 6271  6.57716 20890.5   -6.29463e+06 155789
35400 6274  6.57716 20903.3   -6.29789e+06 155904
35500 6276  6.57716 20919.7   -6.3006e+06 155974
35600 6276  6.57716 20930.7   -6.3006e+06 155974
35700 6278  6.57716 20942.5   -6.30432e+06 156128
35800 6278  6.57716 20954.6   -6.30432e+06 156128
35900 6279  6.57716 20963.1   -6.306e+06 156146
36000 6279  6.57716 20974.9   -6.306e+06 156146
36100 6282  6.57716 20990.4   -6.30937e+06 156219
36200 6286  6.57716 21003.1   -6.31467e+06 156311
36300 6288  6.57716 21012   -6.31765e+06 156314
36400 6290  6.57716 21024.2   -6.32044e+06 156319
36500 6293  6.63377 21034.2   -6.32508e+06 156409
36600 6294  6.63377 21043.1   -6.32646e+06 156426
36700 6297  6.63377 21055.1   -6.32914e+06 156484
36800 6298  6.63377 21061.8   -6.32983e+06 156524
36900 6301  6.63377 21075.7   -6.33465e+06 156572
37000 6303  6.63377 21090.9   -6.33693e+06 156585
37100 6305  6.63377 21101.5   -6.33914e+06 156585
37200 6308  6.63377 21109.2   -6.34282e+06 156628
37300 6311  6.67791 21121.9   -6.34691e+06 156660
37400 6313  6.67791 21129.7   -6.34907e+06 156676
37500 6317  6.67791 21144   -6.35348e+06 156711
37600 6318  6.67791 21150.1   -6.35489e+06 156707
37700 6318  6.67791 21161.7   -6.35489e+06 156707
37800 6321  6.67791 21172.3   -6.35846e+06 156753
37900 6323  6.67791 21181.9   -6.36103e+06 156731
38000 6324  6.67791 21191.2   -6.36194e+06 156753
38100 6326  6.67791 21199.5   -6.36379e+06 156802
38200 6329  6.67791 21211.3   -6.36677e+06 156849
38300 6332  6.67791 21218.9   -6.37128e+06 156962
38400 6337  6.67791 21228.8   -6.37862e+06 157145
38500 6339  6.67791 21240.6   -6.3805e+06 157198
38600 6341  6.67791 21252   -6.38394e+06 157219
38700 6348  6.67791 21260.4   -6.39062e+06 157394
38800 6350  6.67791 21269.6   -6.39235e+06 157464
38900 6351  6.67791 21278.3   -6.39342e+06 157472
39000 6351  6.67791 21286.6   -6.39342e+06 157472
39100 6354  6.67791 21294.6   -6.39958e+06 157553
39200 6356  6.67791 21304.3   -6.40256e+06 157555
39300 6358  6.67791 21312.4   -6.40548e+06 157611
39400 6358  6.67791 21323.5   -6.40548e+06 157611
39500 6360  6.67791 21331.2   -6.40867e+06 157622
39600 6367  6.79431 21344.5   -6.41865e+06 157664
39700 6368  6.79431 21355.6   -6.41971e+06 157668
39800 6369  6.79431 21363.6   -6.42167e+06 157682
39900 6370  6.79431 21372.2   -6.42311e+06 157687
40000 6372  6.79431 21379.1   -6.42561e+06 157733
