0 18  -0.0226279 -3.60878   -324 0
29600 6008  6.60209 19444.1   -6.02562e+06 151732
29700 6009  6.60209 19458.5   -6.02681e+06 151743
29800 6011  6.60209 19471.9   -6.03076e+06 151883
29900 6011  6.60209 19484.8   -6.03076e+06 151883
30000 6011  6.60209 19495.5   -6.03076e+06 151883
30100 6011  6.60209 19512.3   -6.03076e+06 151883
30200 6013  6.60209 19524   -6.03362e+06 151898
30300 6014  6.60209 19542   -6.03474e+06 151921
30400 6014  6.60209 19553.5   -6.03474e+06 151921
30500 6015  6.60209 19565.8   -6.03603e+06 151933
30600 6016  6.60209 19576   -6.03749e+06 151938
30700 6018  6.60209 19590   -6.04029e+06 151943
30800 6019  6.60209 19602.3   -6.04132e+06 151959
30900 6022  6.60209 19610.9   -6.04443e+06 152022
31000 6022  6.60209 19622.9   -6.04443e+06 152022
31100 6023  6.60209 19634.4   -6.04606e+06 152061
31200 6026  6.60209 19649.4   -6.04973e+06 152119
31300 6027  6.60209 19665.2   -6.0512e+06 152107
31400 6028  6.60209 19674.7   -6.05206e+06 152128
31500 6030  6.60209 19688.9   -6.05435e+06 152149
31600 6032  6.60209 19702.8   -6.05698e+06 152176
31700 6032  6.60209 19713.9   -6.05698e+06 152176
31800 6032  6.60209 19729.2   -6.05698e+06 152176
31900 6034  6.60209 19739.4   -6.05887e+06 152217
32000 6035  6.60209 19749.6   -6.05978e+06 152237
32100 6035  6.60209 19758.3   -6.05978e+06 152237
32200 6035  6.63533 19770.7   -6.05978e+06 152237
32300 6036  6.63533 19783.2   -6.06086e+06 152252
32400 6036  6.64692 19794.4   -6.06086e+06 152252
32500 6037  6.64692 19809.3   -6.06216e+06 152261
32600 6040  6.64692 19818.2   -6.06561e+06 152285
32700 6040  6.64692 19828.3   -6.06561e+06 152285
32800 6040  6.64692 19836.8   -6.06561e+06 152285
32900 6040  6.64692 19843.4   -6.06561e+06 152285
33000 6041  6.64692 19853.8   -6.06664e+06 152298
33100 6042  6.64692 19867.3   -6.06826e+06 152366
