0 425  2.0104 26.6953   -36111 1473.95
18100 8944  12.8161 47453.2   -9.79892e+06 202864
18200 8944  12.8161 47498.8   -9.79892e+06 202864
18300 8945  12.8161 47551.3   -9.8004e+06 202871
18400 8946  12.8161 47592.3   -9.80254e+06 202923
18500 8946  12.8161 47642   -9.80254e+06 202923
18600 8946  12.8161 47697.3   -9.80254e+06 202923
18700 8947  12.8161 47752.1   -9.80425e+06 202946
18800 8947  12.8161 47805.1   -9.80425e+06 202946
18900 8947  12.8161 47850.1   -9.80425e+06 202946
19000 8947  12.8161 47897.4   -9.80425e+06 202946
19100 8949  12.8161 47952   -9.80839e+06 203025
19200 8951  12.8161 48010.1   -9.81124e+06 203027
19300 8952  12.8161 48052.2   -9.81304e+06 203019
19400 8954  12.8161 48101   -9.81594e+06 203072
19500 8954  12.8161 48148.2   -9.81594e+06 203072
19600 8954  12.9093 48210.9   -9.81594e+06 203072
19700 8954  12.9093 48246.2   -9.81594e+06 203072
19800 8955  12.9093 48293.7   -9.81822e+06 203084
19900 8955  12.9783 48340.5   -9.81822e+06 203084
20000 8958  12.9783 48382.5   -9.82243e+06 203129
20100 8958  12.9783 48438.4   -9.82243e+06 203129
20200 8961  12.9783 48474.2   -9.82764e+06 203211
20300 8962  12.9783 48529.6   -9.82937e+06 203227
20400 8962  13.1393 48576.4   -9.82937e+06 203227
20500 8962  13.1393 48622.3   -9.82937e+06 203227
20600 8962  13.1393 48663.7   -9.82937e+06 203227
20700 8963  13.1808 48711.8   -9.8306e+06 203230
20800 8964  13.1808 48759.8   -9.8322e+06 203259
20900 8966  13.1808 48814.9   -9.83453e+06 203285
21000 8968  13.1808 48862.8   -9.83855e+06 203380
21100 8968  13.1808 48909.3   -9.83855e+06 203380
21200 8969  13.418 48951.3   -9.83918e+06 203414
21300 8970  13.418 49018   -9.84139e+06 203472
21400 8970  13.418 49050.3   -9.84139e+06 203472
21500 8970  13.418 49095.5   -9.84139e+06 203472
21600 8971  13.418 49132.5   -9.84189e+06 203517
21700 8972  13.418 49187.1   -9.8426e+06 203545
21800 8973  13.418 49227.6   -9.84406e+06 203538
21900 8974  13.418 49261.8   -9.84461e+06 203579
22000 8975  13.418 49300.2   -9.84678e+06 203619
22100 8976  13.418 49334.6   -9.84798e+06 203637
22200 8977  13.418 49376.8   -9.84933e+06 203637
22300 8979  13.418 49419.1   -9.85244e+06 203657
22400 8982  13.418 49468.9   -9.85812e+06 203713
22500 8983  13.418 49513.6   -9.85903e+06 203725
22600 8983  13.418 49546.7   -9.85903e+06 203725
22700 8985  13.418 49581   -9.86259e+06 203740
22800 8985  13.418 49631.9   -9.86259e+06 203740
22900 8985  13.418 49665.3   -9.86259e+06 203740
23000 8985  13.418 49715   -9.86259e+06 203740
23100 8986  13.418 49749.7   -9.86378e+06 203743
23200 8986  13.418 49786.1   -9.86378e+06 203743
23300 8986  13.418 49821   -9.86378e+06 203743
23400 8987  13.418 49865   -9.8656e+06 203725
23500 8987  13.418 49894   -9.8656e+06 203725
23600 8988  13.418 49938.5   -9.86695e+06 203741
23700 8988  13.418 49972.6   -9.86695e+06 203741
23800 8988  13.418 50016.3   -9.86695e+06 203741
23900 8989  13.418 50057   -9.86898e+06 203774
24000 8989  13.418 50091   -9.86898e+06 203774
24100 8992  13.418 50122.7   -9.87372e+06 203849
24200 8993  13.418 50168.5   -9.87472e+06 203861
24300 8996  13.418 50218   -9.88084e+06 203917
24400 8998  13.418 50253.7   -9.88453e+06 203956
24500 8999  13.418 50287.3   -9.88595e+06 203949
24600 9001  13.418 50331.4   -9.88937e+06 203978
24700 9001  13.418 50367.7   -9.88937e+06 203978
24800 9002  13.418 50406   -9.89211e+06 204077
24900 9003  13.418 50444   -9.89284e+06 204102
25000 9003  13.418 50474.5   -9.89284e+06 204102
25100 9003  13.418 50505.3   -9.89284e+06 204102
25200 9004  13.418 50541.8   -9.89404e+06 204103
25300 9005  13.418 50580.8   -9.8956e+06 204121
25400 9005  13.418 50606.4   -9.8956e+06 204121
25500 9005  13.418 50648.2   -9.8956e+06 204121
25600 9006  13.418 50673.9   -9.89636e+06 204144
25700 9006  13.4476 50706.4   -9.89636e+06 204144
25800 9006  13.4476 50739.6   -9.89636e+06 204144
25900 9008  13.4476 50796.2   -9.89979e+06 204185
26000 9009  13.4476 50831   -9.90201e+06 204185
26100 9009  13.4476 50855   -9.90201e+06 204185
26200 9010  13.4476 50888.3   -9.90489e+06 204287
26300 9011  13.4476 50911.4   -9.90708e+06 204340
26400 9012  13.4476 50940.5   -9.908e+06 204352
26500 9013  13.4476 50965.2   -9.90997e+06 204369
26600 9013  13.4476 50990.2   -9.90997e+06 204369
26700 9013  13.4476 51023.2   -9.90997e+06 204369
26800 9014  13.4476 51057.1   -9.91124e+06 204390
26900 9016  13.4476 51100.3   -9.91341e+06 204404
27000 9016  13.4476 51124.9   -9.91341e+06 204404
27100 9016  13.4476 51159.4   -9.91341e+06 204404
27200 9016  13.4476 51182   -9.91341e+06 204404
27300 9017  13.4476 51214   -9.91467e+06 204427
27400 9017  13.4476 51237   -9.91467e+06 204427
27500 9017  13.4476 51264.3   -9.91467e+06 204427
27600 9017  13.4476 51284.1   -9.91467e+06 204427
27700 9017  13.4476 51317.9   -9.91467e+06 204427
27800 9018  13.4476 51342.1   -9.91615e+06 204427
27900 9018  13.4476 51369.3   -9.91615e+06 204427
28000 9018  13.4476 51397.9   -9.91615e+06 204427
28100 9019  13.4476 51433.9   -9.91858e+06 204503
28200 9019  13.4476 51462.6   -9.91858e+06 204503
28300 9019  13.4476 51486.5   -9.91858e+06 204503
28400 9020  13.4476 51512.9   -9.92027e+06 204499
28500 9020  13.4476 51537.3   -9.92027e+06 204499
28600 9020  13.4476 51565   -9.92027e+06 204499
28700 9021  13.4476 51586.7   -9.92126e+06 204509
28800 9021  13.4476 51614.8   -9.92126e+06 204509
28900 9021  13.4476 51643.2   -9.92126e+06 204509
29000 9022  13.4476 51679.6   -9.92315e+06 204555
29100 9022  13.4476 51702.6   -9.92315e+06 204555
29200 9023  13.4476 51729.9   -9.92463e+06 204573
29300 9024  13.4476 51756.3   -9.92607e+06 204572
29400 9024  13.4476 51784.5   -9.92607e+06 204572
29500 9027  13.4476 51821.4   -9.931e+06 204638
29600 9027  13.4476 51843.8   -9.931e+06 204638
29700 9027  13.4476 51873.8   -9.931e+06 204638
29800 9028  13.4476 51899.8   -9.9324e+06 204636
29900 9028  13.4476 51924.7   -9.9324e+06 204636
30000 9028  13.4476 51958.6   -9.9324e+06 204636
30100 9029  13.4476 51988.8   -9.93424e+06 204651
30200 9030  13.4476 52017.4   -9.93604e+06 204688
30300 9030  13.4476 52041.3   -9.93604e+06 204688
30400 9030  13.4476 52064.9   -9.93604e+06 204688
30500 9031  13.4476 52092.1   -9.93818e+06 204689
30600 9032  13.4476 52120.4   -9.93914e+06 204699
30700 9033  13.4476 52143.8   -9.94088e+06 204716
30800 9033  13.4476 52169.3   -9.94088e+06 204716
30900 9034  13.4476 52194.3   -9.94264e+06 204711
31000 9034  13.4476 52227.7   -9.94264e+06 204711
31100 9034  13.4476 52253   -9.94264e+06 204711
31200 9034  13.4476 52283.3   -9.94264e+06 204711
31300 9034  13.4476 52316.2   -9.94264e+06 204711
31400 9034  13.4476 52339.2   -9.94264e+06 204711
31500 9038  13.4476 52371.8   -9.94884e+06 204784
31600 9038  13.4476 52405.1   -9.94884e+06 204784
31700 9038  13.4476 52429.1   -9.94884e+06 204784
31800 9039  13.4476 52449   -9.95015e+06 204798
31900 9040  13.4476 52477.6   -9.95097e+06 204820
32000 9041  13.4476 52510.9   -9.95271e+06 204837
32100 9041  13.4476 52541.4   -9.95271e+06 204837
32200 9041  13.4476 52567.9   -9.95271e+06 204837
32300 9042  13.4476 52587.4   -9.95418e+06 204848
32400 9042  13.4476 52607.6   -9.95418e+06 204848
32500 9043  13.4476 52637.7   -9.95562e+06 204845
32600 9043  13.4476 52663.1   -9.95562e+06 204845
32700 9043  13.4476 52682.6   -9.95562e+06 204845
32800 9044  13.4476 52705.4   -9.95732e+06 204860
32900 9045  13.4476 52724.8   -9.95913e+06 204881
33000 9046  13.4476 52745.5   -9.95995e+06 204901
33100 9047  13.4476 52769.8   -9.9616e+06 204921
33200 9047  13.4476 52789.5   -9.9616e+06 204921
33300 9048  13.4476 52809.2   -9.96319e+06 204936
33400 9049  13.4476 52835.3   -9.96487e+06 204956
33500 9051  13.4476 52854.4   -9.96755e+06 205066
33600 9051  13.4476 52876.4   -9.96755e+06 205066
33700 9052  13.4476 52898   -9.96913e+06 205079
33800 9053  13.4476 52918.8   -9.97141e+06 205140
33900 9053  13.4476 52953.6   -9.97141e+06 205140
34000 9054  13.4947 52984.2   -9.97309e+06 205160
34100 9054  13.4947 53010   -9.97309e+06 205160
34200 9054  13.4947 53038.8   -9.97309e+06 205160
34300 9055  13.5097 53065   -9.9748e+06 205179
34400 9056  13.5097 53086.9   -9.97591e+06 205186
34500 9056  13.5097 53110.1   -9.97591e+06 205186
34600 9056  13.5097 53134.7   -9.97591e+06 205186
34700 9056  13.5097 53156.1   -9.97591e+06 205186
34800 9056  13.5097 53180.9   -9.97591e+06 205186
34900 9056  13.5097 53203   -9.97591e+06 205186
35000 9056  13.5999 53225   -9.97591e+06 205186
35100 9056  13.5999 53257.3   -9.97591e+06 205186
35200 9056  13.5999 53274.7   -9.97591e+06 205186
35300 9056  13.5999 53290.3   -9.97591e+06 205186
35400 9056  13.5999 53309.6   -9.97591e+06 205186
35500 9056  13.5999 53330.7   -9.97591e+06 205186
35600 9056  13.5999 53355.4   -9.97591e+06 205186
35700 9056  13.5999 53381.7   -9.97591e+06 205186
35800 9056  13.5999 53420.6   -9.97591e+06 205186
35900 9056  13.5999 53447.4   -9.97591e+06 205186
36000 9056  13.5999 53472.3   -9.97591e+06 205186
36100 9056  14.0835 53494.7   -9.97591e+06 205186
36200 9056  14.0835 53517.2   -9.97591e+06 205186
36300 9057  14.0835 53546.6   -9.9773e+06 205187
36400 9057  14.0835 53562.3   -9.9773e+06 205187
36500 9057  14.0835 53586.4   -9.9773e+06 205187
36600 9058  14.0835 53606.4   -9.97932e+06 205187
36700 9058  14.0835 53636.9   -9.97932e+06 205187
36800 9058  14.0835 53661.6   -9.97932e+06 205187
36900 9059  14.0835 53691.6   -9.98118e+06 205185
37000 9059  14.0835 53712.7   -9.98118e+06 205185
37100 9059  14.0835 53733.7   -9.98118e+06 205185
37200 9059  14.0835 53758.8   -9.98118e+06 205185
37300 9059  14.0835 53785.8   -9.98118e+06 205185
37400 9059  14.0835 53809   -9.98118e+06 205185
37500 9059  14.0835 53831.3   -9.98118e+06 205185
37600 9059  14.0835 53849.1   -9.98118e+06 205185
37700 9059  14.0835 53876.4   -9.98118e+06 205185
37800 9061  14.0835 53902.1   -9.9846e+06 205192
37900 9062  14.0835 53925.4   -9.98667e+06 205222
38000 9062  14.0835 53949.1   -9.98667e+06 205222
38100 9062  14.0835 53970   -9.98667e+06 205222
38200 9063  14.0835 53997.7   -9.98711e+06 205272
38300 9063  14.0835 54016.7   -9.98711e+06 205272
38400 9064  14.0835 54044.9   -9.98858e+06 205271
38500 9064  14.0835 54063.2   -9.98858e+06 205271
38600 9064  14.0835 54081.6   -9.98858e+06 205271
38700 9064  14.0835 54106.3   -9.98858e+06 205271
38800 9064  14.0835 54125.7   -9.98858e+06 205271
38900 9064  14.0835 54154.3   -9.98858e+06 205271
39000 9065  14.0835 54174.1   -9.98989e+06 205269
39100 9066  14.0835 54199   -9.99068e+06 205292
39200 9067  14.0835 54224.4   -9.99245e+06 205287
39300 9067  14.0835 54243   -9.99245e+06 205287
39400 9067  14.0835 54256.7   -9.99245e+06 205287
39500 9067  14.0835 54277.8   -9.99245e+06 205287
39600 9067  14.0835 54298   -9.99245e+06 205287
39700 9067  14.0835 54315.6   -9.99245e+06 205287
39800 9067  14.0835 54335.6   -9.99245e+06 205287
39900 9067  14.0835 54353.2   -9.99245e+06 205287
40000 9067  14.0835 54375.3   -9.99245e+06 205287
