0 325  2.45176 31.7014   -105625 0
25100 6261  11.8338 28332.1   -3.92001e+07 0
25200 6265  11.8338 28354   -3.92502e+07 0
25300 6267  11.8338 28374.4   -3.92753e+07 0
25400 6268  11.8338 28401.5   -3.92878e+07 0
25500 6269  11.8338 28423.5   -3.93004e+07 0
25600 6271  11.8338 28450.8   -3.93254e+07 0
25700 6274  11.8338 28479   -3.93631e+07 0
25800 6274  11.8338 28504.8   -3.93631e+07 0
25900 6274  11.8338 28526.3   -3.93631e+07 0
26000 6276  11.8338 28546.4   -3.93882e+07 0
26100 6277  11.9907 28564.9   -3.94007e+07 0
26200 6279  11.9907 28586.3   -3.94258e+07 0
26300 6279  11.9907 28611.4   -3.94258e+07 0
26400 6281  12 28642.9   -3.9451e+07 0
26500 6281  12 28666.6   -3.9451e+07 0
26600 6281  12 28686   -3.9451e+07 0
26700 6281  12 28713.9   -3.9451e+07 0
26800 6282  12 28734.6   -3.94635e+07 0
26900 6282  12 28751.6   -3.94635e+07 0
27000 6284  12 28771.8   -3.94887e+07 0
27100 6286  12 28792   -3.95138e+07 0
27200 6288  12 28814.7   -3.95389e+07 0
27300 6288  12 28834.8   -3.95389e+07 0
27400 6289  12 28863.9   -3.95515e+07 0
27500 6289  12 28886.6   -3.95515e+07 0
27600 6291  12 28909.6   -3.95767e+07 0
27700 6291  12 28931.3   -3.95767e+07 0
27800 6292  12 28955.8   -3.95893e+07 0
27900 6292  12.0987 28973.5   -3.95893e+07 0
28000 6292  12.0987 28992.5   -3.95893e+07 0
28100 6293  12.0987 29013.9   -3.96018e+07 0
28200 6293  12.0987 29036.8   -3.96018e+07 0
28300 6295  12.0987 29062.6   -3.9627e+07 0
28400 6296  12.0987 29092.7   -3.96396e+07 0
28500 6296  12.0987 29116.7   -3.96396e+07 0
28600 6297  12.0987 29138.6   -3.96522e+07 0
28700 6297  12.0987 29159.5   -3.96522e+07 0
28800 6298  12.0987 29181.2   -3.96648e+07 0
28900 6300  12.0987 29201.4   -3.969e+07 0
29000 6300  12.0987 29223.5   -3.969e+07 0
29100 6301  12.0987 29245.7   -3.97026e+07 0
29200 6303  12.0987 29264.8   -3.97278e+07 0
29300 6305  12.5201 29289.6   -3.9753e+07 0
29400 6305  12.6788 29307.8   -3.9753e+07 0
29500 6307  12.6788 29332.7   -3.97782e+07 0
29600 6307  12.6788 29346.2   -3.97782e+07 0
29700 6309  12.6788 29361.1   -3.98035e+07 0
29800 6310  12.6788 29382.2   -3.98161e+07 0
29900 6312  12.6788 29397   -3.98413e+07 0
30000 6314  12.6788 29423   -3.98666e+07 0
30100 6314  12.6788 29436.6   -3.98666e+07 0
30200 6315  12.6788 29454.7   -3.98792e+07 0
30300 6316  12.6788 29469.9   -3.98919e+07 0
30400 6316  12.6788 29485.7   -3.98919e+07 0
30500 6316  12.6788 29508.6   -3.98919e+07 0
30600 6317  12.6788 29528.7   -3.99045e+07 0
30700 6319  12.6788 29549   -3.99298e+07 0
30800 6319  12.6788 29562.4   -3.99298e+07 0
30900 6319  12.6788 29578.7   -3.99298e+07 0
31000 6319  12.6788 29595.6   -3.99298e+07 0
31100 6319  12.6788 29611.4   -3.99298e+07 0
31200 6319  12.6788 29631.1   -3.99298e+07 0
31300 6319  12.6788 29647.7   -3.99298e+07 0
31400 6320  12.6788 29665.2   -3.99424e+07 0
31500 6321  12.6788 29679   -3.9955e+07 0
31600 6321  12.6788 29695.5   -3.9955e+07 0
31700 6321  12.6788 29719.2   -3.9955e+07 0
31800 6321  12.6788 29729.5   -3.9955e+07 0
31900 6321  12.6788 29747.7   -3.9955e+07 0
32000 6321  12.6788 29760.2   -3.9955e+07 0
32100 6321  12.6788 29783.8   -3.9955e+07 0
32200 6321  12.6788 29799.6   -3.9955e+07 0
32300 6321  12.6788 29814.9   -3.9955e+07 0
32400 6323  12.6788 29829.1   -3.99803e+07 0
32500 6324  12.6788 29846.9   -3.9993e+07 0
32600 6324  12.6788 29866.5   -3.9993e+07 0
32700 6324  12.6788 29882.7   -3.9993e+07 0
32800 6324  12.6788 29899.3   -3.9993e+07 0
32900 6324  12.6788 29920.2   -3.9993e+07 0
33000 6324  12.6788 29934.2   -3.9993e+07 0
33100 6325  12.6788 29956.2   -4.00056e+07 0
33200 6326  12.6788 29967.3   -4.00183e+07 0
33300 6326  12.6788 29982.5   -4.00183e+07 0
33400 6327  12.6788 30000.6   -4.00309e+07 0
33500 6327  12.6788 30018.9   -4.00309e+07 0
33600 6329  12.6788 30036.1   -4.00562e+07 0
33700 6330  12.6788 30052.9   -4.00689e+07 0
33800 6332  12.6788 30070.5   -4.00942e+07 0
33900 6333  12.6788 30086.6   -4.01069e+07 0
34000 6334  12.6788 30103.2   -4.01196e+07 0
34100 6335  12.6788 30116.1   -4.01322e+07 0
34200 6335  12.6788 30129.5   -4.01322e+07 0
34300 6335  12.6788 30148.4   -4.01322e+07 0
34400 6336  12.6788 30166.1   -4.01449e+07 0
34500 6337  12.6788 30192.8   -4.01576e+07 0
34600 6339  12.6788 30215.1   -4.01829e+07 0
34700 6339  12.6788 30233   -4.01829e+07 0
34800 6339  12.6788 30249.6   -4.01829e+07 0
34900 6339  12.6788 30264.7   -4.01829e+07 0
35000 6339  12.6788 30280.8   -4.01829e+07 0
35100 6339  12.6788 30293.8   -4.01829e+07 0
35200 6339  12.6788 30308.1   -4.01829e+07 0
35300 6340  12.6788 30324.2   -4.01956e+07 0
